epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93466,1.30252,2.80067,1.27703,0.00633,0.6129,0.27539,0.25395,0.88342,2.92967,0.97424,4e-05,4e-05,4e-05
2,9.04396,1.28354,2.7689,1.20887,0.00801,0.77419,0.30588,0.26991,0.84309,2.91787,0.96219,8.02e-05,8.02e-05,8.02e-05
3,14.2485,1.24703,2.50033,1.24968,0.00834,0.80645,0.30833,0.26629,0.85709,2.9083,0.95932,9.664e-05,9.664e-05,9.664e-05
4,19.3091,1.28739,2.19611,1.23168,0.00801,0.77419,0.30847,0.25666,0.91747,2.89013,0.96929,8.932e-05,8.932e-05,8.932e-05
5,24.4424,1.32718,2.01943,1.17393,0.008,0.77419,0.3044,0.25252,0.92249,2.86382,0.96434,5.824e-05,5.824e-05,5.824e-05
