epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.75718,1.45895,2.89506,1.37016,0.00806,0.70968,0.20906,0.18687,0.93245,2.89674,0.92886,8e-05,8e-05,8e-05
2,7.13374,1.51078,2.73787,1.29057,0.00829,0.70968,0.25806,0.22109,0.96096,2.88153,0.92451,0.0001206,0.0001206,0.0001206
3,10.3555,1.37155,2.4274,1.30219,0.00835,0.70968,0.27404,0.2306,0.95266,2.87045,0.9118,9.52e-05,9.52e-05,9.52e-05
